2024-05-06 23:05:03 INFO     ### Saving logs in: logs\ComplEx_WN18RR ###
2024-05-06 23:08:49 INFO     	 valid MR: 5933.42 | MRR: 0.391 | H@1: 0.367 | H@3: 0.402 | H@10: 0.436 | AMRI: -0.000173 | MR_deviation: 130.000
2024-05-06 23:08:49 INFO     	 Saving model at epoch 29 in \logs\05_06\WN18RR\ComplEx_23_05_03
2024-05-06 23:08:57 INFO     	 Epoch 30 | average train loss: 4.7382
2024-05-06 23:08:57 INFO     	 Epoch 30 | average valid loss: 9.8265
2024-05-06 23:09:04 INFO     	 Epoch 31 | average train loss: 4.7189
2024-05-06 23:09:04 INFO     	 Epoch 31 | average valid loss: 9.8254
2024-05-06 23:09:12 INFO     	 Epoch 32 | average train loss: 4.7011
2024-05-06 23:09:12 INFO     	 Epoch 32 | average valid loss: 9.8230
2024-05-06 23:09:19 INFO     	 Epoch 33 | average train loss: 4.6829
2024-05-06 23:09:19 INFO     	 Epoch 33 | average valid loss: 9.8214
2024-05-06 23:09:27 INFO     	 Epoch 34 | average train loss: 4.6677
2024-05-06 23:09:27 INFO     	 Epoch 34 | average valid loss: 9.8174
2024-05-06 23:09:28 INFO     	 valid MR: 5948.28 | MRR: 0.395 | H@1: 0.372 | H@3: 0.404 | H@10: 0.437 | AMRI: -0.000172 | MR_deviation: 152.000
2024-05-06 23:09:28 INFO     	 Saving model at epoch 34 in \logs\05_06\WN18RR\ComplEx_23_05_03
2024-05-06 23:09:36 INFO     	 Epoch 35 | average train loss: 4.6538
2024-05-06 23:09:36 INFO     	 Epoch 35 | average valid loss: 9.8171
2024-05-06 23:09:45 INFO     	 Epoch 36 | average train loss: 4.6399
2024-05-06 23:09:45 INFO     	 Epoch 36 | average valid loss: 9.8165
2024-05-06 23:09:52 INFO     	 Epoch 37 | average train loss: 4.6257
2024-05-06 23:09:52 INFO     	 Epoch 37 | average valid loss: 9.8073
2024-05-06 23:10:00 INFO     	 Epoch 38 | average train loss: 4.6130
2024-05-06 23:10:00 INFO     	 Epoch 38 | average valid loss: 9.8095
2024-05-06 23:10:07 INFO     	 Epoch 39 | average train loss: 4.6011
2024-05-06 23:10:07 INFO     	 Epoch 39 | average valid loss: 9.8068
